ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,BOOKING_CODE,longitude,latitude,location
,OAK068,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1OAK05,-114.131876407363,50.9682731789779,"(50.9682731789779, -114.131876407363)"
,OAK068,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1OAK05,-114.131285844863,50.9682721118647,"(50.9682721118647, -114.131285844863)"
,OAK068,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1OAK05,-114.131294434471,50.9677192035528,"(50.9677192035528, -114.131294434471)"
,OAK068,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1OAK05,-114.131875580689,50.9677137303422,"(50.9677137303422, -114.131875580689)"
,DDG718,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-114.001408444362,50.9412173502767,"(50.9412173502767, -114.001408444362)"
,KIL619,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1KIL18,-114.131617435273,51.0280540273401,"(51.0280540273401, -114.131617435273)"
,KIL619,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1KIL18,-114.132008640634,51.0282682481645,"(51.0282682481645, -114.132008640634)"
,MCI091,,CALGARY RECREATION,CALGARY RECREATION,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,MCILSE02,-114.01486961406,51.0859812909372,"(51.0859812909372, -114.01486961406)"
,ABB560,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-113.932565185168,51.0593681640555,"(51.0593681640555, -113.932565185168)"
,ABB560,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-113.93283811542,51.0593061123843,"(51.0593061123843, -113.93283811542)"
,OAK068,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-114.131121874526,50.9686219169282,"(50.9686219169282, -114.131121874526)"
,OAK068,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,N/A,-114.131170547947,50.9687327314738,"(50.9687327314738, -114.131170547947)"
,OAK068,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-114.131124424707,50.9687797894135,"(50.9687797894135, -114.131124424707)"
,ASP514,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1ASP07,-114.218258764743,51.0418340373394,"(51.0418340373394, -114.218258764743)"
,OAK068,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,N/A,-114.131172462413,50.9687790747258,"(50.9687790747258, -114.131172462413)"
,OAK068,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-114.13078921452,50.968763071903,"(50.968763071903, -114.13078921452)"
,OAK068,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-114.130792581708,50.9686186047506,"(50.9686186047506, -114.130792581708)"
,PIN027,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-113.945454987218,51.0728954066431,"(51.0728954066431, -113.945454987218)"
,PIN027,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-113.945099128199,51.0728932003047,"(51.0728932003047, -113.945099128199)"
,STR816,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-114.179022175438,51.0469829661562,"(51.0469829661562, -114.179022175438)"
,STA544,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-114.121146265163,51.0641867019467,"(51.0641867019467, -114.121146265163)"
,EDG143,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,N/A,-114.148294745768,51.1137629803384,"(51.1137629803384, -114.148294745768)"
,EDG143,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,N/A,-114.148503926448,51.1136631043606,"(51.1136631043606, -114.148503926448)"
,DRN547,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,N/A,-114.007691985826,50.9213597916687,"(50.9213597916687, -114.007691985826)"
,BED723,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-114.084397954676,51.1310946532719,"(51.1310946532719, -114.084397954676)"
,DRG543,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,N/A,-114.019668059652,50.929317035317,"(50.929317035317, -114.019668059652)"
XX ACR 2,NEB844,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1NEB08,-113.940194811618,50.9210443057374,"(50.9210443057374, -113.940194811618)"
XX ACR 2,NEB844,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1NEB05,-113.939919210932,50.9210929480911,"(50.9210929480911, -113.939919210932)"
,02F201,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,WITH UPRIGHT,X1INL01,-114.186397073194,51.1530204755952,"(51.1530204755952, -114.186397073194)"
,02F201,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,WITH UPRIGHT,X1INL01,-114.184968587717,51.1530224060072,"(51.1530224060072, -114.184968587717)"
,02F201,,PROVINCE OF ALBERTA,CALGARY PARKS,,ACTIVE,4,GOAL POST,WITH UPRIGHT,X1INL02,-114.186391155473,51.1523512991736,"(51.1523512991736, -114.186391155473)"
,02F201,,PROVINCE OF ALBERTA,CALGARY PARKS,,ACTIVE,4,GOAL POST,WITH UPRIGHT,X1INL02,-114.184958750956,51.1523542191815,"(51.1523542191815, -114.184958750956)"
,WIL154,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,,S1WIL23,-114.057973348225,50.9506891407231,"(50.9506891407231, -114.057973348225)"
,WIL154,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,,S1WIL23,-114.057257123653,50.9506991383765,"(50.9506991383765, -114.057257123653)"
,COU015,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1COU02,-114.069690506724,51.1476338039114,"(51.1476338039114, -114.069690506724)"
,MCT823,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1MCT23,-113.959543218364,50.9083795785776,"(50.9083795785776, -113.959543218364)"
,MCT832,,CALGARY PARKS & CSSB,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1MCT01,-113.972641686207,50.9096279070309,"(50.9096279070309, -113.972641686207)"
,OAK066,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1OAK06,-114.124788846029,50.9684063650689,"(50.9684063650689, -114.124788846029)"
,SCE153,,CALGARY PARKS & CBE,CALGARY PARKS,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1SCE09,-114.216626447906,51.1203069194423,"(51.1203069194423, -114.216626447906)"
NO FIELD BOOKING CODE,QLD519,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1QLD09,-114.022694477691,50.9389274447953,"(50.9389274447953, -114.022694477691)"
